age,d18O,Ca2
3000,-34.61,NA
3020,-34.61,NA
3020,-35.14,NA
3040,-35.14,NA
3040,-35.37,NA
3060,-35.37,NA
3060,-34.57,NA
3080,-34.57,NA
3080,-35.11,NA
3100,-35.11,NA
3100,-34.99,NA
3120,-34.99,NA
3120,-34.96,NA
3140,-34.96,NA
3140,-35.08,NA
3160,-35.08,NA
3160,-35.39,NA
3180,-35.39,NA
3180,-34.44,NA
3200,-34.44,NA
3200,-34.9,NA
3220,-34.9,NA
3220,-35.21,NA
3240,-35.21,NA
3240,-35.07,NA
3260,-35.07,NA
3260,-34.59,NA
3280,-34.59,NA
3280,-34.61,NA
3300,-34.61,NA
3300,-34.24,NA
3320,-34.24,NA
3320,-34.6,NA
3340,-34.6,NA
3340,-34.05,NA
3360,-34.05,NA
3360,-34.71,NA
3380,-34.71,NA
3380,-34.65,NA
3400,-34.65,NA
3400,-34.85,NA
3420,-34.85,NA
3420,-35.01,NA
3440,-35.01,NA
3440,-34.81,NA
3460,-34.81,NA
3460,-35.26,NA
3480,-35.26,NA
3480,-35.1,NA
3500,-35.1,NA
3500,-34.91,NA
3520,-34.91,NA
3520,-34.22,NA
3540,-34.22,NA
3540,-34.84,NA
3560,-34.84,NA
3560,-34.71,NA
3580,-34.71,NA
3580,-34.84,NA
3600,-34.84,NA
3600,-35.25,NA
3620,-35.25,NA
3620,-34.99,NA
3640,-34.99,NA
3640,-35.01,NA
3660,-35.01,NA
3660,-35.21,NA
3680,-35.21,NA
3680,-34.87,NA
3700,-34.87,NA
3700,-34.44,NA
3720,-34.44,NA
3720,-34.44,NA
3740,-34.44,NA
3740,-34.49,NA
3760,-34.49,NA
3760,-35.19,NA
3780,-35.19,NA
3780,-34.75,NA
3800,-34.75,NA
3800,-34.88,NA
3820,-34.88,NA
3820,-35.11,NA
3840,-35.11,NA
3840,-34.62,NA
3860,-34.62,NA
3860,-34.95,NA
3880,-34.95,NA
3880,-34.42,NA
3900,-34.42,NA
3900,-35.55,NA
3920,-35.55,NA
3920,-34.92,NA
3940,-34.92,NA
3940,-34.42,NA
3960,-34.42,NA
3960,-34.55,NA
3980,-34.55,NA
3980,-35.1,NA
4000,-35.1,NA
4000,-34.62,NA
4020,-34.62,NA
4020,-34.74,NA
4040,-34.74,NA
4040,-34.8,NA
4060,-34.8,NA
4060,-34.54,NA
4080,-34.54,NA
4080,-34.52,NA
4100,-34.52,NA
4100,-34.93,NA
4120,-34.93,NA
4120,-34.3,NA
4140,-34.3,NA
4140,-34.93,NA
4160,-34.93,NA
4160,-34.71,NA
4180,-34.71,NA
4180,-34.97,NA
4200,-34.97,NA
4200,-35.16,NA
4220,-35.16,NA
4220,-34.95,NA
4240,-34.95,NA
4240,-34.51,NA
4260,-34.51,NA
4260,-34.84,NA
4280,-34.84,NA
4280,-34.91,NA
4300,-34.91,NA
4300,-34.83,NA
4320,-34.83,NA
4320,-35.09,NA
4340,-35.09,NA
4340,-34.79,NA
4360,-34.79,NA
4360,-34.67,NA
4380,-34.67,NA
4380,-35.15,NA
4400,-35.15,NA
4400,-34.9,NA
4420,-34.9,NA
4420,-34.3,NA
4440,-34.3,NA
4440,-34.95,NA
4460,-34.95,NA
4460,-34.44,NA
4480,-34.44,NA
4480,-35,NA
4500,-35,NA
4500,-34.88,NA
4520,-34.88,NA
4520,-35.09,NA
4540,-35.09,NA
4540,-34.75,NA
4560,-34.75,NA
4560,-34.92,NA
4580,-34.92,NA
4580,-34.82,NA
4600,-34.82,NA
4600,-34.55,NA
4620,-34.55,NA
4620,-35.33,NA
4640,-35.33,NA
4640,-35.07,NA
4660,-35.07,NA
4660,-35.1,NA
4680,-35.1,NA
4680,-34.81,NA
4700,-34.81,NA
4700,-34.5,NA
4720,-34.5,NA
4720,-35.24,NA
4740,-35.24,NA
4740,-35.09,NA
4760,-35.09,NA
4760,-35.31,NA
4780,-35.31,NA
4780,-35.33,NA
4800,-35.33,NA
4800,-34.66,NA
4820,-34.66,NA
4820,-34.81,NA
4840,-34.81,NA
4840,-35.34,NA
4860,-35.34,NA
4860,-34.47,NA
4880,-34.47,NA
4880,-34.93,NA
4900,-34.93,NA
4900,-34.77,NA
4920,-34.77,NA
4920,-34.77,NA
4940,-34.77,NA
4940,-35.15,NA
4960,-35.15,NA
4960,-34.31,NA
4980,-34.31,NA
4980,-35.09,NA
5000,-35.09,NA
5000,-34.42,NA
5020,-34.42,NA
5020,-34.94,NA
5040,-34.94,NA
5040,-34.66,NA
5060,-34.66,NA
5060,-34.47,NA
5080,-34.47,NA
5080,-34.79,NA
5100,-34.79,NA
5100,-34.59,NA
5120,-34.59,NA
5120,-34.82,NA
5140,-34.82,NA
5140,-34.8,NA
5160,-34.8,NA
5160,-35.27,NA
5180,-35.27,NA
5180,-34.37,NA
5200,-34.37,NA
5200,-34.84,NA
5220,-34.84,NA
5220,-34.87,NA
5240,-34.87,NA
5240,-35.11,NA
5260,-35.11,NA
5260,-34.92,NA
5280,-34.92,NA
5280,-34.83,NA
5300,-34.83,NA
5300,-35.45,NA
5320,-35.45,NA
5320,-34.96,NA
5340,-34.96,NA
5340,-35.15,NA
5360,-35.15,NA
5360,-34.86,NA
5380,-34.86,NA
5380,-34.8,NA
5400,-34.8,NA
5400,-35.35,NA
5420,-35.35,NA
5420,-34.41,NA
5440,-34.41,NA
5440,-34.89,NA
5460,-34.89,NA
5460,-35.27,NA
5480,-35.27,NA
5480,-34.68,NA
5500,-34.68,NA
5500,-34.84,NA
5520,-34.84,NA
5520,-35.15,NA
5540,-35.15,NA
5540,-34.55,NA
5560,-34.55,NA
5560,-34.93,NA
5580,-34.93,NA
5580,-34.93,NA
5600,-34.93,NA
5600,-34.28,NA
5620,-34.28,NA
5620,-35.33,NA
5640,-35.33,NA
5640,-34.31,NA
5660,-34.31,NA
5660,-34.76,NA
5680,-34.76,NA
5680,-34.82,NA
5700,-34.82,NA
5700,-34.67,NA
5720,-34.67,NA
5720,-34.66,NA
5740,-34.66,NA
5740,-34.87,NA
5760,-34.87,NA
5760,-34.85,NA
5780,-34.85,NA
5780,-34.92,NA
5800,-34.92,NA
5800,-34.64,NA
5820,-34.64,NA
5820,-34.16,NA
5840,-34.16,NA
5840,-35.26,NA
5860,-35.26,NA
5860,-35.27,NA
5880,-35.27,NA
5880,-34.76,NA
5900,-34.76,NA
5900,-34.71,NA
5920,-34.71,NA
5920,-34.28,NA
5940,-34.28,NA
5940,-34.92,NA
5960,-34.92,NA
5960,-34.75,NA
5980,-34.75,NA
5980,-34.9,NA
6000,-34.9,NA
6000,-35.04,NA
6020,-35.04,NA
6020,-35.09,NA
6040,-35.09,NA
6040,-35.39,NA
6060,-35.39,NA
6060,-34.99,NA
6080,-34.99,NA
6080,-34.48,NA
6100,-34.48,NA
6100,-35.24,NA
6120,-35.24,NA
6120,-34.9,NA
6140,-34.9,NA
6140,-34.68,NA
6160,-34.68,NA
6160,-34.72,NA
6180,-34.72,NA
6180,-34.88,NA
6200,-34.88,NA
6200,-34.33,NA
6220,-34.33,NA
6220,-35.31,NA
6240,-35.31,NA
6240,-35.01,NA
6260,-35.01,NA
6260,-35,NA
6280,-35,NA
6280,-34.36,NA
6300,-34.36,NA
6300,-35.11,NA
6320,-35.11,NA
6320,-35.19,NA
6340,-35.19,NA
6340,-34.53,NA
6360,-34.53,NA
6360,-34.97,NA
6380,-34.97,NA
6380,-35.35,NA
6400,-35.35,NA
6400,-34.42,NA
6420,-34.42,NA
6420,-35.26,NA
6440,-35.26,NA
6440,-34.5,NA
6460,-34.5,NA
6460,-35.18,NA
6480,-35.18,NA
6480,-34.89,NA
6500,-34.89,NA
6500,-34.87,NA
6520,-34.87,NA
6520,-34.71,NA
6540,-34.71,NA
6540,-35.25,NA
6560,-35.25,NA
6560,-34.47,NA
6580,-34.47,NA
6580,-34.65,NA
6600,-34.65,NA
6600,-34.75,NA
6620,-34.75,NA
6620,-35.02,NA
6640,-35.02,NA
6640,-34.78,NA
6660,-34.78,NA
6660,-34.74,NA
6680,-34.74,NA
6680,-34.73,NA
6700,-34.73,NA
6700,-35.12,NA
6720,-35.12,NA
6720,-34.87,NA
6740,-34.87,NA
6740,-34.54,NA
6760,-34.54,NA
6760,-34.64,NA
6780,-34.64,NA
6780,-34.26,NA
6800,-34.26,NA
6800,-35.11,NA
6820,-35.11,NA
6820,-34.13,NA
6840,-34.13,NA
6840,-35.14,NA
6860,-35.14,NA
6860,-34.75,NA
6880,-34.75,NA
6880,-35.07,NA
6900,-35.07,NA
6900,-34.97,NA
6920,-34.97,NA
6920,-34.84,NA
6940,-34.84,NA
6940,-34.62,NA
6960,-34.62,NA
6960,-34.88,NA
6980,-34.88,NA
6980,-34.24,NA
7000,-34.24,NA
7000,-35.07,NA
7020,-35.07,NA
7020,-34.76,NA
7040,-34.76,NA
7040,-34.54,NA
7060,-34.54,NA
7060,-34.76,NA
7080,-34.76,NA
7080,-34.92,NA
7100,-34.92,NA
7100,-34.58,NA
7120,-34.58,NA
7120,-34.65,NA
7140,-34.65,NA
7140,-35.15,NA
7160,-35.15,NA
7160,-35.67,NA
7180,-35.67,NA
7180,-34.37,NA
7200,-34.37,NA
7200,-34.51,NA
7220,-34.51,NA
7220,-35.16,NA
7240,-35.16,NA
7240,-34.5,NA
7260,-34.5,NA
7260,-34.5,NA
7280,-34.5,NA
7280,-34.71,NA
7300,-34.71,NA
7300,-34.36,NA
7320,-34.36,NA
7320,-34.17,NA
7340,-34.17,NA
7340,-34.59,NA
7360,-34.59,NA
7360,-34.8,NA
7380,-34.8,NA
7380,-34.22,NA
7400,-34.22,NA
7400,-34.61,NA
7420,-34.61,NA
7420,-34.77,NA
7440,-34.77,NA
7440,-34.47,NA
7460,-34.47,NA
7460,-34.62,NA
7480,-34.62,NA
7480,-34.66,NA
7500,-34.66,NA
7500,-34.71,NA
7520,-34.71,NA
7520,-34.62,NA
7540,-34.62,NA
7540,-34.88,NA
7560,-34.88,NA
7560,-34.57,NA
7580,-34.57,NA
7580,-34.79,NA
7600,-34.79,NA
7600,-34.22,NA
7620,-34.22,NA
7620,-34.88,NA
7640,-34.88,NA
7640,-34.58,NA
7660,-34.58,NA
7660,-34.83,NA
7680,-34.83,NA
7680,-34.9,NA
7700,-34.9,NA
7700,-34.87,NA
7720,-34.87,NA
7720,-34.23,NA
7740,-34.23,NA
7740,-33.96,NA
7760,-33.96,NA
7760,-34.5,NA
7780,-34.5,NA
7780,-34.57,NA
7800,-34.57,NA
7800,-34.83,NA
7820,-34.83,NA
7820,-34.37,NA
7840,-34.37,NA
7840,-34.43,NA
7860,-34.43,NA
7860,-34.3,NA
7880,-34.3,NA
7880,-34.9,NA
7900,-34.9,NA
7900,-34.85,10.88
7920,-34.85,10.88
7920,-34.88,14.42
7940,-34.88,14.42
7940,-34.59,13.28
7960,-34.59,13.28
7960,-34.76,8.199999999999998
7980,-34.76,8.199999999999998
7980,-34.26,9.76
8000,-34.26,9.76
8000,-34.29,11.54
8020,-34.29,11.54
8020,-34.7,13.15
8040,-34.7,13.15
8040,-35.11,11.18
8060,-35.11,11.18
8060,-35.16,11.89
8080,-35.16,11.89
8080,-35.26,10.91
8100,-35.26,10.91
8100,-34.86,10.55
8120,-34.86,10.55
8120,-35.12,NA
8140,-35.12,NA
8140,-35.92,NA
8160,-35.92,NA
8160,-36.01,8.39
8180,-36.01,8.39
8180,-35.17,8.56
8200,-35.17,8.56
8200,-35.95,8.13
8220,-35.95,8.13
8220,-36.05,9.69
8240,-36.05,9.69
8240,-36.63,7.36
8260,-36.63,7.36
8260,-35.28,6.47
8280,-35.28,6.47
8280,-34.87,6.94
8300,-34.87,6.94
8300,-34.67,7.34
8320,-34.67,7.34
8320,-34.83,5.73
8340,-34.83,5.73
8340,-34.9,9.74
8360,-34.9,9.74
8360,-35.04,11.06
8380,-35.04,11.06
8380,-34.46,8.99
8400,-34.46,8.99
8400,-34.97,8.93
8420,-34.97,8.93
8420,-35.04,8.88
8440,-35.04,8.88
8440,-34.62,10.18
8460,-34.62,10.18
8460,-35.28,6.71
8480,-35.28,6.71
8480,-34.52,4.62
8500,-34.52,4.62
8500,-34.63,7.2
8520,-34.63,7.2
8520,-34.85,6.89
8540,-34.85,6.89
8540,-34.79,9.75
8560,-34.79,9.75
8560,-34.69,6.72
8580,-34.69,6.72
8580,-34.46,7.58
8600,-34.46,7.58
8600,-34.4,5.97
8620,-34.4,5.97
8620,-34.72,6.47
8640,-34.72,6.47
8640,-35.18,7.32
8660,-35.18,7.32
8660,-35.16,6.77
8680,-35.16,6.77
8680,-35.14,5.59
8700,-35.14,5.59
8700,-34.69,3.76
8720,-34.69,3.76
8720,-35.54,5.5
8740,-35.54,5.5
8740,-34.41,4.64
8760,-34.41,4.64
8760,-34.86,5.22
8780,-34.86,5.22
8780,-34.72,5.35
8800,-34.72,5.35
8800,-35.24,6.2
8820,-35.24,6.2
8820,-34.87,7.03
8840,-34.87,7.03
8840,-34.46,7.6
8860,-34.46,7.6
8860,-35.26,7.22
8880,-35.26,7.22
8880,-34.53,6.95
8900,-34.53,6.95
8900,-34.41,5.99
8920,-34.41,5.99
8920,-34.16,4.54
8940,-34.16,4.54
8940,-33.93,10.63
8960,-33.93,10.63
8960,-34.47,5.39
8980,-34.47,5.39
8980,-33.95,6.55
9000,-33.95,6.55
9000,-34.84,9.79
9020,-34.84,9.79
9020,-34.7,8.67
9040,-34.7,8.67
9040,-35.25,6.77
9060,-35.25,6.77
9060,-34.91,7.25
9080,-34.91,7.25
9080,-34.78,9.15
9100,-34.78,9.15
9100,-34.77,9.73
9120,-34.77,9.73
9120,-35,6.44
9140,-35,6.44
9140,-33.58,5.15
9160,-33.58,5.15
9160,-34.57,5.98
9180,-34.57,5.98
9180,-34.41,5.7
9200,-34.41,5.7
9200,-34.43,6.3
9220,-34.43,6.3
9220,-34.99,6.18
9240,-34.99,6.18
9240,-34.75,4.82
9260,-34.75,4.82
9260,-35.04,5.57
9280,-35.04,5.57
9280,-35.86,7.94
9300,-35.86,7.94
9300,-34.91,7.47
9320,-34.91,7.47
9320,-34.45,5
9340,-34.45,5
9340,-34.5,4.73
9360,-34.5,4.73
9360,-34.47,6.72
9380,-34.47,6.72
9380,-34.83,4.3
9400,-34.83,4.3
9400,-34.18,6.03
9420,-34.18,6.03
9420,-34.4,3.89
9440,-34.4,3.89
9440,-34.62,7.88
9460,-34.62,7.88
9460,-34.33,7.39
9480,-34.33,7.39
9480,-34.36,6.12
9500,-34.36,6.12
9500,-34.6,8.01
9520,-34.6,8.01
9520,-34.44,6.94
9540,-34.44,6.94
9540,-34.53,6.2
9560,-34.53,6.2
9560,-35.47,8.4
9580,-35.47,8.4
9580,-34.63,9.73
9600,-34.63,9.73
9600,-34.43,19.32
9620,-34.43,19.32
9620,-34.71,7.95
9640,-34.71,7.95
9640,-34.81,7.48
9660,-34.81,7.48
9660,-34.88,9.53
9680,-34.88,9.53
9680,-34.4,8.1
9700,-34.4,8.1
9700,-34.04,7
9720,-34.04,7
9720,-34.99,7.72
9740,-34.99,7.72
9740,-34.57,6.93
9760,-34.57,6.93
9760,-34.92,6.88
9780,-34.92,6.88
9780,-35.01,9.04
9800,-35.01,9.04
9800,-35.1,7.87
9820,-35.1,7.87
9820,-34.25,9.56
9840,-34.25,9.56
9840,-34.81,9.32
9860,-34.81,9.32
9860,-34.63,8.5
9880,-34.63,8.5
9880,-34.63,8.14
9900,-34.63,8.14
9900,-34.6,7.37
9920,-34.6,7.37
9920,-34.73,7.62
9940,-34.73,7.62
9940,-35.44,6.68
9960,-35.44,6.68
9960,-34.05,7.49
9980,-34.05,7.49
9980,-34.83,9.77
10000,-34.83,9.77
10000,-34.6,6.96
10020,-34.6,6.96
10020,-34.82,5.91
10040,-34.82,5.91
10040,-35.24,6.63
10060,-35.24,6.63
10060,-35.31,7.23
10080,-35.31,7.23
10080,-35.4,5.88
10100,-35.4,5.88
10100,-35.42,4.85
10120,-35.42,4.85
10120,-34.7,6.28
10140,-34.7,6.28
10140,-35.65,5.48
10160,-35.65,5.48
10160,-34.9,5.91
10180,-34.9,5.91
10180,-34.69,6.01
10200,-34.69,6.01
10200,-35.38,7.11
10220,-35.38,7.11
10220,-35.3,6.2
10240,-35.3,6.2
10240,-35.53,5.45
10260,-35.53,5.45
10260,-35.7,7.64
10280,-35.7,7.64
10280,-35.49,9.56
10300,-35.49,9.56
10300,-35.46,5.2
10320,-35.46,5.2
10320,-35.23,9.08
10340,-35.23,9.08
10340,-35.58,11.62
10360,-35.58,11.62
10360,-35.26,5.79
10380,-35.26,5.79
10380,-36.41,5.25
10400,-36.41,5.25
10400,-36.06,7.89
10420,-36.06,7.89
10420,-35.47,7.17
10440,-35.47,7.17
10440,-35.1,6.28
10460,-35.1,6.28
10460,-35.17,NA
10480,-35.17,NA
10480,-35.22,9.44
10500,-35.22,9.44
10500,-35.53,9.3
10520,-35.53,9.3
10520,-35.92,5.9
10540,-35.92,5.9
10540,-35.64,6.07
10560,-35.64,6.07
10560,-36.31,7.33
10580,-36.31,7.33
10580,-35.82,9.09
10600,-35.82,9.09
10600,-35.47,8.3
10620,-35.47,8.3
10620,-35.44,7.79
10640,-35.44,7.79
10640,-36.09,6.41
10660,-36.09,6.41
10660,-35.83,6.5
10680,-35.83,6.5
10680,-36.27,7.8
10700,-36.27,7.8
10700,-35.71,8.08
10720,-35.71,8.08
10720,-36.14,8.01
10740,-36.14,8.01
10740,-36.1,9.06
10760,-36.1,9.06
10760,-35.62,8.779999999999998
10780,-35.62,8.779999999999998
10780,-36.19,5.42
10800,-36.19,5.42
10800,-35.99,9.19
10820,-35.99,9.19
10820,-36.65,8.09
